Cenário,Injeção (R$ bi),Spillover (R$ bi),Feedback (R$ mi),Feedback/Inj (%)
Baseline,51.48342917956512,18.16284947285308,163.64588758504397,0.31786128117899054
Diversificação,51.48342917956513,18.416764673636678,166.38446073619707,0.3231806105142635
Fundão,43.44594543220125,15.173447509236194,131.6831035984651,0.3030964162213035
Adensamento,51.48342917956512,18.19100399432433,164.71541107574012,0.31993869425682936
Assimetria RB→ES,17.761208489511578,0.0,115.5321773724354,0.650474754804325
