regiao,vazamento_medio_pct,rank
MT,27.44,1
AM,27.30,2
MS,25.74,3
GO,25.10,4
TO,24.79,5
RO,24.43,6
PI,22.92,7
ES,22.84,8
BA,22.74,9
SC,22.48,10
PA,22.43,11
PR,22.28,12
AL,22.10,13
RS,21.79,14
RN,21.68,15
SE,21.11,16
MG,20.95,17
PB,20.07,18
PE,19.26,19
DF,19.11,20
CE,18.70,21
AC,18.56,22
AP,18.05,23
MA,18.01,24
RR,16.81,25
RJ,15.57,26
SP,14.20,27
